Season,DayNum,WTeamID,WScore,LTeamID,LScore,NumOT,Team_Home,Team_Away,Team_Neutral,WSeedNum,WNetRtg,LSeedNum,LNetRtg,logitPerc,logitBrier
2023,140,3437,76,3195,57,0,1,0,0,4,45.851243262065296,12,57.671203527303234,0.7650479715042183,0.0552024556942826
2023,138,3257,83,3179,81,0,0,0,1,5,35.982705877331554,12,36.62066053405553,0.7663878298649492,0.054574646035207904
2023,140,3397,94,3405,47,0,1,0,0,4,37.69514098266194,12,37.599159185013804,0.8181572526002001,0.03306678478190743
2023,138,3328,85,3339,63,0,0,0,1,5,30.356439526560678,12,15.792239587678981,0.833084133352198,0.027860906538786822
2023,139,3439,72,3355,60,0,1,0,0,1,54.00677019640274,9,51.07727804248424,0.8349676767405082,0.027235667720425398
2023,138,3417,67,3170,45,0,1,0,0,4,34.046935956024264,13,34.57476547908654,0.8388162379857809,0.02598020513705643
2023,138,3437,76,3156,59,0,1,0,0,4,45.851243262065296,13,45.540305567296116,0.8442985584382056,0.024242938904420887
2023,140,3163,77,3124,58,0,1,0,0,2,54.40493625802195,7,30.714812502457697,0.845051663183024,0.024008987082347024
2023,139,3323,53,3280,48,0,1,0,0,3,50.35172654209985,11,42.68472800657771,0.8507224227828726,0.02228379505981544
2023,139,3261,66,3276,42,0,1,0,0,3,79.65035190620205,6,38.52241857617817,0.8679753447303228,0.017430509599077108
2023,139,3234,74,3208,66,0,1,0,0,2,51.17689880064423,10,35.12682199743759,0.8788897620943101,0.0146676897255728
2023,139,3428,63,3343,56,0,1,0,0,2,57.41871036709033,10,40.84998852550324,0.8814063716783396,0.014064448678496138
2023,147,3376,86,3268,75,0,1,0,0,1,96.35524089098928,2,34.318600316516026,0.8973819968580352,0.010530454568844294
2023,138,3181,89,3233,49,0,1,0,0,3,39.05515219307825,14,26.448374096420487,0.9143625871047055,0.007333766487399148
2023,138,3326,80,3241,66,0,1,0,0,3,40.14073615508941,14,22.989942520693795,0.923975904304239,0.005779663126358221
2023,138,3400,79,3187,40,0,1,0,0,4,50.7727552516184,13,21.695420151584067,0.9246785443468709,0.0056733216817062915
2023,145,3376,59,3417,43,0,1,0,0,1,96.35524089098928,4,34.046935956024264,0.9250570434533771,0.005616446735949003
2023,146,3261,54,3274,42,0,0,0,1,3,79.65035190620205,9,27.89070353594972,0.9287915123374486,0.005070648715187733
2023,138,3397,95,3387,50,0,1,0,0,4,37.69514098266194,13,0.6698702362391409,0.9377329033155978,0.0038771913295046942
2023,137,3268,93,3221,61,0,1,0,0,2,34.318600316516026,15,17.525410590650615,0.9437686267893439,0.00316196733315609
2023,139,3376,76,3378,45,0,1,0,0,1,96.35524089098928,8,37.86421351791883,0.95604718193504,0.001931850215851473
2023,138,3163,95,3436,52,0,1,0,0,2,54.40493625802195,15,24.684171201690006,0.9613624193395899,0.0014928626392896982
2023,137,3323,82,3381,56,0,1,0,0,3,50.35172654209985,14,3.3857876488220224,0.9661741718120617,0.0011441866525999235
2023,137,3428,103,3205,77,0,1,0,0,2,57.41871036709033,15,22.746378189143712,0.9663654941207542,0.0011312799857410181
2023,137,3234,95,3368,43,0,1,0,0,2,51.17689880064423,15,8.996508967669932,0.9723501411892942,0.0007645146922519656
2023,137,3439,58,3151,33,0,1,0,0,1,54.00677019640274,16,8.875973502303445,0.9818153043752714,0.0003306831549640226
2023,138,3231,77,3399,47,0,1,0,0,1,61.156521093217656,16,13.442956290395903,0.9832445656620452,0.0002807445798535144
2023,137,3261,73,3218,50,0,1,0,0,3,79.65035190620205,14,0.33243350694264295,0.9866963956231445,0.00017698588941588925
2023,137,3390,92,3357,49,0,1,0,0,1,61.220444055846,16,3.8671313923334827,0.987176926161233,0.00016443122267447113
2023,137,3376,72,3313,40,0,1,0,0,1,96.35524089098928,16,19.131016286276413,0.9930019852650934,4.8972210229969566e-05
